is_churned,customer_id,job_category,age,recency_days,frequency_total_bookings,frequency_cancelled_bookings,frequency_noshow_bookings,cancellation_rate,monetary_total_spent,monetary_avg_per_booking,monetary_max_booking,monetary_avg_per_night,total_nights_stayed,avg_nights_per_stay,frequency_bookings_per_year,avg_spend_per_booking,engagement_score,value_tier
0,3444,vacation_traveler,59,58.0,18,3,2,0.1304291117777488,19933.26,1107.4033333333332,3467.25,184.5655132822844,108,6.0,4.5,1049.118947368421,0.3050847457627119,High
0,1734,business_traveler,37,16.0,60,3,8,0.0422529260151265,44037.60000000001,733.9600000000003,2582.98,220.18689906550475,200,3.333333333333333,15.0,721.9278688524593,3.5294117647058822,VIP
0,1929,business_traveler,25,44.0,59,5,6,0.0714275510349852,30753.74000000001,521.2498305084747,1756.33,186.38517342319145,165,2.796610169491525,14.75,512.5623333333335,1.3111111111111111,VIP
0,2845,occasional_visitor,25,219.0,1,0,2,0.0,386.9,386.9,386.9,96.70082479380152,4,4.0,0.25,193.45,0.0045454545454545,Low
0,3625,occasional_visitor,34,150.0,4,0,0,0.0,3272.05,818.0124999999999,2020.58,204.49034435347787,16,4.0,1.0,654.41,0.0264900662251655,Low
0,3727,business_traveler,65,34.0,37,5,4,0.10869328927632,17349.550000000003,468.90675675675686,1722.68,188.5800154346149,92,2.4864864864864864,9.25,456.567105263158,1.0571428571428572,High
0,248,business_traveler,42,29.0,32,5,4,0.121948245164752,16705.020000000004,522.0318750000001,1208.16,189.82761559527736,88,2.75,8.0,506.2127272727274,1.0666666666666669,High
0,1392,business_traveler,27,65.0,28,0,2,0.0,15030.899999999998,536.8178571428571,1425.03,185.5643757484475,81,2.892857142857143,7.0,518.3068965517241,0.4242424242424242,High
0,379,vacation_traveler,27,27.0,15,1,2,0.0555524693072607,16277.12,1085.1413333333337,2048.39,142.7805019254217,114,7.6,3.75,1017.32,0.5357142857142857,High
1,1361,vacation_traveler,73,102.0,16,1,0,0.0588200694076819,17579.760000000002,1098.735,2602.37,174.05530638310512,101,6.3125,4.0,1034.1035294117648,0.1553398058252427,High
1,2295,occasional_visitor,34,417.0,3,0,0,0.0,4375.360000000001,1458.4533333333336,2446.48,218.75706214689268,20,6.666666666666667,0.75,1093.84,0.0071770334928229,Medium
0,3343,occasional_visitor,47,52.0,3,1,0,0.2499375156210947,3519.13,1173.0433333333333,1770.38,319.891828015635,11,3.6666666666666665,0.75,879.7825,0.0566037735849056,Low
1,108,occasional_visitor,70,118.0,1,1,0,0.4997501249375312,793.22,793.22,793.22,132.18130311614732,6,6.0,0.25,396.61,0.0084033613445378,Low
0,1684,business_traveler,68,24.0,31,1,8,0.0249993750156246,15760.349999999997,508.398387096774,1710.64,202.05317880539985,78,2.5161290322580645,7.75,492.51093749999984,1.24,High
0,4020,vacation_traveler,42,43.0,11,0,0,0.0,13527.309999999998,1229.7554545454543,2283.37,180.3617285102865,75,6.818181818181818,2.75,1127.2758333333331,0.25,Medium
1,206,vacation_traveler,24,79.0,21,0,2,0.0,25979.759999999995,1237.1314285714284,2962.12,220.16559181701845,118,5.619047619047619,5.25,1180.8981818181817,0.2625,VIP
1,4499,occasional_visitor,37,437.0,1,1,0,0.4997501249375312,494.07,494.07,494.07,123.48662834291426,4,4.0,0.25,247.035,0.002283105022831,Low
0,3210,business_traveler,42,8.0,59,3,5,0.0447754511126699,34595.18999999999,586.3591525423727,2130.25,214.8756218905472,161,2.7288135593220337,14.75,576.5864999999998,6.555555555555555,VIP
1,1500,occasional_visitor,61,570.0,4,0,0,0.0,3163.9,790.9749999999999,1236.76,166.5122888269038,19,4.75,1.0,632.78,0.0070052539404553,Low
1,4563,vacation_traveler,64,155.0,9,0,0,0.0,10636.92,1181.88,2203.91,196.9763522897724,54,6.0,2.25,1063.692,0.0576923076923076,Medium
1,490,vacation_traveler,65,325.0,8,2,0,0.1999800019998,11637.6,1454.6999999999998,3176.37,204.1648392133471,57,7.125,2.0,1293.0666666666666,0.0245398773006134,Medium
0,4790,business_traveler,68,131.0,48,7,2,0.1228048630725776,25030.430000000004,521.4672916666667,1774.8,203.497776440842,123,2.5625,12.0,510.8251020408164,0.3636363636363636,VIP
